,Polymer_Name_P,Mn,Mw,D,THF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,BIGSMILES,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3,DMF Soluble
40,DMT50_MRD25_TPD25_P,,,,,,,25,,Y,Y,Distributed,20231209,Y,Y,,2:1.3:0.7,2.0,1.3,0.7,
16,DMI50_BTD25_DCD25_P,,,,,,,26,,Y,Y,Distributed,20231209,Y,Y,,2:1.2:0.8,2.0,1.2,0.8,
7,AZA25_DMI25_PRD50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
24,DMI50_MRD25_DPD25_P,,,,,,,26,,Y,Y,Distributed,20231018,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
4,ADA25_DMT25_HND50_P,,,,,,,30,,Y,Y,Distributed,20231209,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
42,DMT50_PRD25_BED25_P,,,,,,,25,,Y,Y,Distributed,20231209,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
11,DGA25_DMI25_CHM50_P,,,,,,,31,,Y,Y,Distributed,20231209,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
47,DMT50_TPG25_BED25_P,,,,,,,30,,Y,Y,Distributed,20231115,Y,Y,,2:0.3:1.7,2.0,0.3,1.7,
14,DGA25_DMT25_PTD50_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,Y,,1.1:0.9:2,1.1,0.9,2.0,
60,SCA25_DMT25_ETG50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,,,1.8:0.2:2,1.8,0.2,2.0,
63,TOA25_DMI25_HND50_P,,,,,,,30,,Y,Y,Clear Zone,20231209,Y,Y,,1.0:1.0:2,1.0,1.0,2.0,
33,DMT50_DPD25_HND25_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,Y,,2:0.5:1.5,2.0,0.5,1.5,
32,DMT50_DEG25_TPG25_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
6,AZA25_DMI25_DPG50_P,,,,,,,28,,Y,Y,Distributed ,20231018,Y,Y,,1.3:0.7:2,1.3,0.7,2.0,
61,SUA25_DMI25_MPD50_P,,,,,,,31,,Y,Y,Distributed,20231209,Y,Y,,1.3:0.7:2,1.3,0.7,2.0,
17,DMI50_BTD25_DMD25_P,,,,,,,26,,Y,Y,Distributed,20231209,P,Y,,2:0.8:1.2,2.0,0.8,1.2,
10,CCD25_DMT25_PPD50_P,,,,,,,28,,Y,Y,Clear Zone,20231018,Y-DMT->DMI,Y,,1.6:0.4:2,1.6,0.4,2.0,
59,SCA25_DMI25_ETG50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
8,CCD25_DMI25_MRD50_P,,,,,,,26,,Y,Y,Distributed ,20231018,Y,Y,,1.7:0.3:2,1.7,0.3,2.0,
15,DMI50_BND25_TPD25_P,,,,,,,28,,Y,Y,Distributed,20231018,Y BND->DND,?,,2:1.3:0.7,2.0,1.3,0.7,
3,ADA25_DMT25_DPD50_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,Y,,1.6:0.4:2,1.6,0.4,2.0,
9,CCD25_DMT25_GGE50_P,,,,,,,31,,Y,Y,Color Interference,20231209,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
35,DMT50_ETG25_BED25_P,,,,,,,25,,Y,Y,Distributed,20231209,Y,Y,,2:0.5:1.5,2.0,0.5,1.5,
56,SBA25_DMT25_CHM50_P,,,,,,,30,,Y,Y,Distributed,20231209,Y,,,1.5:0.5:2,1.5,0.5,2.0,
43,DMT50_PRD25_DPG25_P,,,,,,,26,,Y,Y,Distributed,20231209,Y DMI->DMT,Y,,2:1.7:0.3,2.0,1.7,0.3,
55,SBA25_DMT25_BND50_P,,,,,,,28,,Y,Y,Distributed,20231018,,Y,,1.6:0.4:2,1.6,0.4,2.0,
62,SUA25_DMT25_PRD50_P,,,,,,,25,,Y,Y,Clear Zone,20231209,Y,Y,,1.5:0.5:2,1.5,0.5,2.0,
0,ADA25_DMI25_BND50_P,,,,,,,28,,Y,Y,Clear Zone,20231018,Y,Y,,1.4:0.6:2,1.4,0.6,2.0,
141,SBA50_BND25_BPA25_P,,,,,,T1_J7,12,"solid (waxy, opaque)",Y,Y,Color Interference,20231018,Y,Y,,2:1.4:0.6,2.0,1.4,0.6,
231,TOA50_PPD25_BPA25_P,,,,,,T1_I8,11,"solid (elastic, clear)",Y,Y,Color Interference,20231018,Y,Y,,2:1.3:0.7,2.0,1.3,0.7,
13,ADA50_DPG25_CHD25_P,,,,,,T2_A9,13,"solid (waxy, opaque)",Y,Y,Distributed,20231018,Y,Y,,2:1.1:0.9,2.0,1.1,0.9,
211,TOA25_EBA25_PPD50_P,,,,,,T1_J3,11,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,Y,Y,,1.1:0.9:2,1.1,0.9,2.0,
78,DGA50_MRD25_BND25_P,,,,,,T1_A8,2,"solid (elastic, lightly opaque)",Y,Y,Clear Zone,20230910,Y,Y,,2:1.1:0.9,2.0,1.1,0.9,
162,SCA25_GLA25_PRD50_P,,,,,,T1_D10,5,"solid (elastic, clear)",Y,Y,Clear Zone,20230910,P,Y,,0.9:1.1:2,0.9,1.1,2.0,
181,SCA50_TPD25_OTD25_P,,,,,,T2_B9,14,viscous,Y,Y,Distributed,20231115,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
144,SBA50_CHM25_CHD25_P,,,,,,T2_H8,20,"solid (waxy, opaque)",Y,Y,Distributed,20231115,P,,,2:1.1:0.9,2.0,1.1,0.9,
122,GLA50_DMD25_HND25_P,,,,,,T1_F10,8,"solid (elastic, opaque)",Y,Y,Clear Zone,20231115,P,Y,,2:1.0:1.0,2.0,1.0,1.0,
127,GLA50_ETG25_BND25_P,,,,,,T1_E3,6,viscous,Y,Y,Clear Zone,20230910,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
161,SCA25_EBA25_CHD50_P,,,,,,T3_B5,23,,Y,Y,Clear Zone,20231209,P,,,1.0:1.0:2,1.0,1.0,2.0,
99,EBA50_NND25_GGE25_P,,,,,,T3_B3,23,,Y,Y,Clear Zone,20231209,P,,,2:1.5:0.5,2.0,1.5,0.5,
45,CCD50_DPD25_CHD25_P,,,,,,T2_D6,16,"solid (elastic, clear)",Y,Y,Distributed,20231115,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
63,DGA25_SBA25_ETG50_P,,,,,,T1_F1,7,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,Y,Y,,0.4:1.6:2,0.4,1.6,2.0,
228,TOA50_HND25_DCD25_P,,,,,,T2_G1,18,"solid (elastic, opaque)",Y,Y,Clear Zone,20231115,P,Y,,2:1.0:1.0,2.0,1.0,1.0,
168,SCA50_BND25_GGE25_P,,,,,,T1_J6,11,"solid (elastic, clear)",Y,Y,Clear Zone,20231018,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
18,ADA50_PPD25_CHD25_P,,,,,,T1_H5,9,"solid (waxy, opaque)",Y,Y,Distributed,20231018,Y,,,2:1.0:1.0,2.0,1.0,1.0,
68,DGA25_TOA25_TEG50_P,,,,,,T2_I5,20,,Y,Y,Clear Zone,20231115,,,,1.0:1.0:2,1.0,1.0,2.0,
176,SCA50_MRD25_BTD25_P,8085.0,13230.0,1.636,Y,,T1_A7,1,viscous,Y,Y,Clear Zone,20230910,Y-SCA->SUA,Y,,2:0.4:1.6,2.0,0.4,1.6,
40,CCD50_BTD25_DCD25_P,,,,,,T1_B10,3,"solid (waxy, opaque)",Y,Y,Distributed,20231018,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
150,SBA50_MPD25_OTD25_P,,,,,,T2_I7,20,,Y,Y,Distributed,20231115,,,,2:1.0:1.0,2.0,1.0,1.0,
82,DGA50_PRD25_GGE25_P,,,,,,T1_D9,5,"solid (elastic, clear)",Y,Y,Clear Zone,20231018,,,,2:1.1:0.9,2.0,1.1,0.9,
59,DGA25_AZA25_BND50_P,,,,,,T2_A2,12,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,Y,Y,,1.0:1.0:2,1.0,1.0,2.0,
29,AZA50_ETG25_TPG25_P,,,,,,T1_E9,6,viscous,Y,Y,Clear Zone,20230910,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
157,SCA25_DGA25_BND50_P,,,,,,T2_A6,13,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,,Y,,0.9:1.1:2,0.9,1.1,2.0,
223,TOA50_DMD25_DEG25_P,,,,,,T1_F8,8,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,P,Y,,2:1.0:1.0,2.0,1.0,1.0,
112,GLA25_DGA25_TPD50_P,,,,,,T2_C7,15,viscous,Y,Y,Distributed,20231115,Y,Y,,1.0:1.0:2,1.0,1.0,2.0,
184,SUA25_EBA25_BND50_P,,,,,,T2_A4,12,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,Y,Y,,1.1:0.9:2,1.1,0.9,2.0,
109,GLA25_CCD25_BND50_P,,,,,,T2_A3,12,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,Y,Y,,1.0:1.0:2,1.0,1.0,2.0,
92,EBA50_DMD25_GGE25_P,,,,,,T1_G8,9,"solid (elastic, clear)",Y,Y,Clear Zone,20231018,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
8,ADA50_CHM25_CHD25_P,,,,,,T2_H4,19,"solid (waxy, opaque)",Y,Y,Distributed,20231115,P,,,2:1.0:1.0,2.0,1.0,1.0,
4,ADA25_SUA25_TPG50_P,,,,,,T2_H2,19,viscous,Y,Y,Clear Zone,20231115,P,,,1.0:1.0:2,1.0,1.0,2.0,
186,SUA25_EBA25_NND50_P,,,,,,T3_B4,23,,Y,Y,Distributed,20231209,P,,,1.1:0.9:2,1.1,0.9,2.0,
195,SUA50_DPG25_CHM25_P,,,,,,T2_B3,14,viscous,Y,Y,Distributed,20231018,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
178,SCA50_PPD25_TEG25_P,,,,,,T1_I2,10,viscous,Y,Y,Clear Zone,20231018,Y,Y,,2:1.1:0.9,2.0,1.1,0.9,
2,ADA25_DMT25_BPA50_P,,,,,,,31,,Y,N,No Growth,20231121,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
28,DMT50_CHM25_BPA25_P,,,,,,,30,,Y,N,No Growth,20231121,Y,,,2:0.9:1.1,2.0,0.9,1.1,
5,ADA25_DMT25_PTD50_P,,,,,,,29,,Y,N,,20231121,Y,Y,,1.4:0.6:2,1.4,0.6,2.0,
27,DMT50_BTD25_CHD25_P,,,,,,,26,,Y,N,,20231018,Y,,,2:0.8:1.2,2.0,0.8,1.2,
